search_date,source_link,headline,text
2025-08-17T11:07:07.330101,https://en.wikipedia.org/wiki/Kyoto_School,Kyoto School,"The Kyoto School (京都学派, Kyōto-gakuha) is the name given to the Japanese philosophical movement centered at Kyoto University that assimilated Western philosophy and religious ideas and used them to reformulate religious and moral insights unique to the East Asian philosophical tradition. However, it is also used to describe postwar scholars who have taught at the same university, been influenced by the foundational thinkers of Kyoto school philosophy, and who have developed distinctive theories of Japanese uniqueness. To disambiguate the term, therefore, thinkers and writers covered by this second sense appear under The Kyoto University Research Centre for the Cultural Sciences.
Beginning roughly in 1913 with Kitarō Nishida, it survived the serious controversy it garnered after World War II to develop into a well-known and active movement. However, it is not a ""school"" of philosophy in the traditional sense of the phrase, such as with the Frankfurt School or Plato's Academy. Instead, the group of academics gathered around Kyoto University as a de facto meeting place. Its founder, Nishida, steadfastly encouraged independent thinking.
According to James Heisig, the name ""Kyoto School"" was first used in 1932 by a student of Nishida and Hajime Tanabe. Jun Tosaka considered himself to be part of the 'Marxist left-wing' of the school. Afterwards, the media and academic institutions outside Japan began to use the term. By the 1970s it had become a universally accepted term."
2025-08-17T11:07:07.330125,https://en.wikipedia.org/wiki/Critique_of_Dialectical_Reason,Critique of Dialectical Reason,"Critique of Dialectical Reason (French: Critique de la raison dialectique) is a 1960 book by the philosopher Jean-Paul Sartre, in which the author further develops the existentialist Marxism he first expounded in his essay Search for a Method (1957).  Critique of Dialectical Reason and Search for a Method were written as a common manuscript, with Sartre intending the former to logically precede the latter. Critique of Dialectical Reason was Sartre's second large-scale philosophical treatise, Being and Nothingness (1943) having been the first. The book has been seen by some as an abandonment of Sartre's original existentialism, while others have seen it as a continuation and elaboration of his earlier work. It was translated into English by Alan Sheridan-Smith.
The first volume, ""Theory of Practical Ensembles"", was first published in English in 1976; a corrected English translation was published in 1991, based on the revised French edition of 1985. The second volume, ""The Intelligibility of History"", was published posthumously in French in 1985 with an English translation by Quintin Hoare appearing in 1991.
Sartre is quoted as having said this was the principal of his two philosophical works for which he wished to be remembered."
2025-08-17T11:07:07.330128,https://en.wikipedia.org/wiki/Keiji_Nishitani,Keiji Nishitani,"Keiji Nishitani (西谷 啓治, Nishitani Keiji; February 27, 1900 – November 24, 1990) was a Japanese philosopher. He was a scholar of the Kyoto School and a disciple of Kitarō Nishida. In 1924, Nishitani received his doctorate from Kyoto Imperial University for his dissertation ""Das Ideale und das Reale bei Schelling und Bergson"". He studied under Martin Heidegger in Freiburg from 1937 to 1939."
2025-08-17T11:07:07.330131,https://en.wikipedia.org/wiki/Hajime_Tanabe,Hajime Tanabe,"Hajime Tanabe (田辺 元, Tanabe Hajime; February 3, 1885 – April 29, 1962) was a Japanese philosopher of science, particularly of mathematics and physics. His work brought together elements of Buddhism, scientific thought, Western philosophy, Christianity, and Marxism. In the postwar years, Tanabe coined the concept of metanoetics, proposing that the limits of speculative philosophy and reason must be surpassed by metanoia.
Tanabe was a key member of what has become known in the West as the Kyoto School, alongside philosophers Kitarō Nishida (also Tanabe's teacher) and Keiji Nishitani. He taught at Tōhoku Imperial University beginning in 1913 and later at Kyōto Imperial University, and studied at the universities of Berlin, Leipzig, and Freiburg in the 1920s under figures such as Edmund Husserl and Martin Heidegger. In 1947 he became a member of the Japan Academy, and in 1950 he received the Order of Cultural Merit."
2025-08-17T11:07:07.330133,https://en.wikipedia.org/wiki/Existential_nihilism,Existential nihilism,"Existential nihilism is the philosophical theory that life has no objective meaning or purpose. The inherent meaninglessness of life is largely explored in the philosophical school of existentialism, where one can potentially create their own subjective ""meaning"" or ""purpose"". The supposed conflict between our desire for meaning and the reality of a meaningless world is explored in the philosophical school of absurdism. Of all types of nihilism, existential nihilism has received the most literary and philosophical attention."
2025-08-17T11:07:14.879500,https://en.wikipedia.org/wiki/Vacuum_energy,Vacuum energy,"Vacuum energy is an underlying background energy that exists in space throughout the entire universe. The vacuum energy is a special case of zero-point energy that relates to the quantum vacuum.

The effects of vacuum energy can be experimentally observed in various phenomena such as spontaneous emission, the Casimir effect, and the Lamb shift, and are thought to influence the behavior of the Universe on cosmological scales. Using the upper limit of the cosmological constant, the vacuum energy of free space has been estimated to be 10−9 joules (10−2 ergs), or ~5 GeV per cubic meter. However, in quantum electrodynamics, consistency with the principle of Lorentz covariance and with the magnitude of the Planck constant suggests a much larger value of 10113 joules per cubic meter. This huge discrepancy is known as the cosmological constant problem or, colloquially, the ""vacuum catastrophe."""
2025-08-17T11:07:14.879519,https://en.wikipedia.org/wiki/Scientific_theory,Scientific theory,"A scientific theory is an explanation of an aspect of the natural world that can be or that has been repeatedly tested and has corroborating evidence in accordance with the scientific method, using accepted protocols of observation, measurement, and evaluation of results. Where possible, theories are tested under controlled conditions in an experiment. In circumstances not amenable to experimental testing, theories are evaluated through principles of abductive reasoning. Established scientific theories have withstood rigorous scrutiny and embody scientific knowledge.
A scientific theory differs from a scientific fact: a fact is an observation and a theory organizes and explains multiple observations. Furthermore, a theory is expected to make predictions which could be confirmed or refuted with addition observations. Stephen Jay Gould wrote that ""...facts and theories are different things, not rungs in a hierarchy of increasing certainty. Facts are the world's data. Theories are structures of ideas that explain and interpret facts.""
A theory differs from a scientific law in that a law is an empirical description of a relationship between facts and/or other laws. For example, Newton's Law of Gravity is a mathematical equation that can be used to predict the attraction between bodies, but it is not a theory to explain how gravity works.
The meaning of the term scientific theory (often contracted to theory for brevity) as used in the disciplines of science is significantly differ"
2025-08-17T11:07:14.879521,https://en.wikipedia.org/wiki/Vacuum,Vacuum,"A vacuum (pl.: vacuums or vacua) is  space devoid of matter. The word is derived from the Latin adjective vacuus (neuter vacuum) meaning ""vacant"" or ""void"". An approximation to such vacuum is a region with a gaseous pressure much less than atmospheric pressure.  Physicists often discuss ideal test results that would occur in a perfect vacuum, which they sometimes simply call ""vacuum"" or free space, and use the term partial vacuum to refer to an actual imperfect vacuum as one might have in a laboratory or in space. In engineering and applied physics on the other hand, vacuum refers to any space in which the pressure is considerably lower than atmospheric pressure. The Latin term in vacuo is used to describe an object that is surrounded by a vacuum.
The quality of a partial vacuum refers to how closely it approaches a perfect vacuum. Other things equal, lower gas pressure means higher-quality vacuum. For example, a typical vacuum cleaner produces enough suction to reduce air pressure by around 20%. But higher-quality vacuums are possible. Ultra-high vacuum chambers, common in chemistry, physics, and engineering, operate below one trillionth (10−12) of atmospheric pressure (100 nPa), and can reach around 100 particles/cm3. Outer space is an even higher-quality vacuum, with the equivalent of just a few hydrogen atoms per cubic meter on average in intergalactic space.
Vacuum has been a frequent topic of philosophical debate since ancient Greek times, but was not studied empiricall"
2025-08-17T11:07:14.879523,https://en.wikipedia.org/wiki/List_of_superseded_scientific_theories,List of superseded scientific theories,"This list includes well-known general theories in science and pre-scientific natural history and natural philosophy that have since been superseded by other scientific theories. Many discarded explanations were once supported by a scientific consensus, but replaced after more empirical information became available that identified flaws and prompted new theories which better explain the available data. Pre-modern explanations originated before the scientific method, with varying degrees of empirical support. 
Some scientific theories are discarded in their entirety, such as the replacement of the phlogiston theory by energy and thermodynamics. Some theories known to be incomplete or in some ways incorrect are still used. For example, Newtonian classical mechanics is accurate enough for practical calculations at everyday distances and velocities, and it is still taught in schools. The more complicated relativistic mechanics must be used for long distances and velocities nearing the speed of light, and quantum mechanics for very small distances and objects.
Some aspects of discarded theories are reused in modern explanations. For example, miasma theory proposed that all diseases were transmitted by ""bad air"". The modern germ theory of disease has found that diseases are caused by microorganisms, which can be transmitted by a variety of routes, including touching a contaminated object, blood, and contaminated water. Malaria was discovered to be a mosquito-borne disease, explainin"
2025-08-17T11:07:14.879526,https://en.wikipedia.org/wiki/Superfluid_vacuum_theory,Superfluid vacuum theory,"Superfluid vacuum theory (SVT), sometimes known as the BEC vacuum theory, is an approach in theoretical physics and quantum mechanics where the fundamental physical vacuum (non-removable background) is considered as a superfluid or as a Bose–Einstein condensate (BEC).
The microscopic structure of this physical vacuum is currently unknown and is a subject of intensive studies in SVT. An ultimate goal of this research is to develop scientific models that unify quantum mechanics (which describes three of the four known fundamental interactions) with gravity, making SVT a  derivative of quantum gravity and describes all known interactions in the Universe, at both microscopic and astronomic scales, as different manifestations of the same entity, superfluid vacuum."
2025-08-17T11:07:24.373050,https://en.wikipedia.org/wiki/Apathy,Apathy,"Apathy, also referred to as indifference, is a lack of feeling, emotion, interest, or concern about something. It is a state of indifference, or the suppression of emotions such as concern, excitement, motivation, or passion. An apathetic individual has an absence of interest in or concern about emotional, social, spiritual, philosophical, virtual, or physical life and the world. Apathy can also be defined as a person's lack of goal orientation. Apathy falls in the less extreme spectrum of diminished motivation, with abulia in the middle and akinetic mutism being more extreme than both apathy and abulia.
The apathetic may lack a sense of purpose, worth, or meaning in their life. People with severe apathy tend to have a lower quality of life and are at a higher risk for mortality and early institutionalization. They may also exhibit insensibility or sluggishness. In positive psychology, apathy is described as a result of the individuals' feeling they do not possess the level of skill required to confront a challenge (i.e. ""flow""). It may also be a result of perceiving no challenge at all (e.g., the challenge is irrelevant to them, or conversely, they have learned helplessness). Apathy is usually felt only in the short term, but sometimes it becomes a long-term or even lifelong state, often leading to deeper social and psychological issues.
Apathy should be distinguished from reduced affect display, which refers to reduced emotional expression but not necessarily reduced emotio"
2025-08-17T11:07:24.373082,https://en.wikipedia.org/wiki/Absurdism,Absurdism,"Absurdism is the philosophical theory that the universe is irrational and meaningless. It states that trying to find meaning leads people into conflict with a seemingly meaningless world. This conflict can be between rational humanity and an irrational universe, between intention and outcome, or between subjective assessment and objective worth, but the precise definition of the term is disputed. Absurdism claims that, due to one or more of these conflicts, existence as a whole is absurd. It differs in this regard from the less global thesis that some particular situations, persons, or phases in life are absurd.
Various components of the absurd are discussed in the academic literature, and different theorists frequently concentrate their definition and research on different components. On the practical level, the conflict underlying the absurd is characterized by the individual's struggle to find meaning in a meaningless world. The theoretical component, on the other hand, emphasizes more the epistemic inability of reason to penetrate and understand reality. Traditionally, the conflict is characterized as a collision between an internal component of human nature, and an external component of the universe. However, some later theorists have suggested that both components may be internal: the capacity to see through the arbitrariness of any ultimate purpose, on the one hand, and the incapacity to stop caring about such purposes, on the other hand. Certain accounts also involve "
2025-08-17T11:07:24.373086,https://en.wikipedia.org/wiki/Fallout_(franchise),Fallout (franchise),"Fallout is a media franchise of post-apocalyptic role-playing video games created by Tim Cain and Leonard Boyarsky, at Interplay Entertainment. The series is largely set during the first half of the 3rd millennium, following a devastating nuclear war between China and the United States, with an atompunk retrofuturistic setting and artwork influenced by the post-war culture of the 1950s United States, with its combination of hope for the promises of technology and the lurking fear of nuclear annihilation. Fallout is regarded as a spiritual successor to Wasteland, a 1988 game developed by Interplay Productions.
The series' first title, Fallout, was developed by Black Isle Studios and released in 1997, and its sequel, Fallout 2, the following year. With the tactical role-playing game Fallout Tactics: Brotherhood of Steel, development was handed to Micro Forté and 14 Degrees East. In 2004, Interplay closed Black Isle Studios, and continued to produce Fallout: Brotherhood of Steel, an action game with role-playing elements for the PlayStation 2 and Xbox, without Black Isle Studios. Fallout 3, the third entry in the main series, was released in 2008 by Bethesda Softworks, and was followed by Fallout: New Vegas, developed by Obsidian Entertainment released on October 19, 2010. Fallout 4 was released in 2015, and Fallout 76 released on November 14, 2018.
Bethesda Softworks owns the rights to the Fallout intellectual property. After acquiring it, Bethesda licensed the rights to make a"
