search_date,source_link,headline,text
2025-06-29T02:43:37.856612,"https://youtube.com/search?q=Given that the provided topic is not valid for educational discussion, let's assume a new educational topic: **""The impact of climate change on polar bear populations""**. Here are five different search queries pertaining to this topic:","Error searching YouTube for: Given that the provided topic is not valid for educational discussion, let's assume a new educational topic: **""The impact of climate change on polar bear populations""**. Here are five different search queries pertaining to this topic:","Error: Cannot connect to host localhost:8000 ssl:default [Connect call failed ('127.0.0.1', 8000)]"
2025-06-29T02:43:37.929924,https://youtube.com/search?q=1. **Keyword extraction**:,Error searching YouTube for: 1. **Keyword extraction**:,"Error: Cannot connect to host localhost:8000 ssl:default [Connect call failed ('127.0.0.1', 8000)]"
2025-06-29T02:43:37.931835,"https://youtube.com/search?q=1. ""Impact of climate change on polar bear populations""","Error searching YouTube for: 1. ""Impact of climate change on polar bear populations""","Error: Cannot connect to host localhost:8000 ssl:default [Connect call failed ('127.0.0.1', 8000)]"
2025-06-29T02:43:37.933089,https://youtube.com/search?q=2. **Query expansion**:,Error searching YouTube for: 2. **Query expansion**:,"Error: Cannot connect to host localhost:8000 ssl:default [Connect call failed ('127.0.0.1', 8000)]"
2025-06-29T02:43:37.934592,"https://youtube.com/search?q=2. ""Effects of global warming on the habitats and numbers of polar bears""","Error searching YouTube for: 2. ""Effects of global warming on the habitats and numbers of polar bears""","Error: Cannot connect to host localhost:8000 ssl:default [Connect call failed ('127.0.0.1', 8000)]"
2025-06-29T02:43:37.935589,https://youtube.com/search?q=3. **Query modification**:,Error searching YouTube for: 3. **Query modification**:,"Error: Cannot connect to host localhost:8000 ssl:default [Connect call failed ('127.0.0.1', 8000)]"
2025-06-29T02:43:37.936877,"https://youtube.com/search?q=3. ""How does climate change threaten the survival of polar bears?""","Error searching YouTube for: 3. ""How does climate change threaten the survival of polar bears?""","Error: Cannot connect to host localhost:8000 ssl:default [Connect call failed ('127.0.0.1', 8000)]"
2025-06-29T02:43:37.938041,https://youtube.com/search?q=4. **Broadening the scope**:,Error searching YouTube for: 4. **Broadening the scope**:,"Error: Cannot connect to host localhost:8000 ssl:default [Connect call failed ('127.0.0.1', 8000)]"
2025-06-29T02:43:37.939475,"https://youtube.com/search?q=4. ""Climate change effects on Arctic wildlife populations""","Error searching YouTube for: 4. ""Climate change effects on Arctic wildlife populations""","Error: Cannot connect to host localhost:8000 ssl:default [Connect call failed ('127.0.0.1', 8000)]"
2025-06-29T02:43:37.940745,https://youtube.com/search?q=5. **Narrowing the scope**:,Error searching YouTube for: 5. **Narrowing the scope**:,"Error: Cannot connect to host localhost:8000 ssl:default [Connect call failed ('127.0.0.1', 8000)]"
2025-06-29T02:43:37.942607,"https://youtube.com/search?q=5. ""Study on polar bear population decline in the Barents Sea due to climate change""","Error searching YouTube for: 5. ""Study on polar bear population decline in the Barents Sea due to climate change""","Error: Cannot connect to host localhost:8000 ssl:default [Connect call failed ('127.0.0.1', 8000)]"
